date,,Mean,SD,95% CI,lower CI,upper CI,Median,Minimum,Maximum,Total
3/1/04,38047,7.79,6.27,6.95 - 8.62,6.95,8.62,7.2,-10,72,214
6/1/04,38139,6.87,4.99,6.15 - 7.58,6.15,7.58,7,-30,25,187
9/1/04,38231,6.73,4.78,6.06 - 7.40,6.06,7.4,6,-25,34,196
12/1/04,38322,6.63,3.46,6.24 - 7.02,6.24,7.02,6,-5,26,301
3/1/05,38412,6.29,4.27,5.80 - 6.79,5.8,6.79,6,-15,50,288
6/1/05,38504,5.35,3.1,5.02 - 5.67,5.02,5.67,5,-10,25,341
9/1/05,38596,5.54,3.16,5.21 - 5.88,5.21,5.88,5,-10,21,343
12/1/05,38687,5.45,3.3,5.11 - 5.79,5.11,5.79,5,-15,15,366
3/1/06,38777,6.44,3.61,6.03 - 6.86,6.03,6.86,6,-10,30,293
6/1/06,38869,6.24,3.77,5.92 - 6.56,5.92,6.56,6,-20,25,538
9/1/06,38961,5.72,4.04,5.37 - 6.06,5.37,6.06,5,-20,50,525
12/1/06,39052,6.96,5.41,6.45 - 7.48,6.45,7.48,6,-8,90,425
3/1/07,39142,7.13,3.91,6.76 - 7.51,6.76,7.51,7,-10,40,420
6/1/07,39234,7.37,3.72,7.02 - 7.71,7.02,7.71,7,-5,23,449
9/1/07,39326,5.64,4.05,5.30 - 5.99,5.3,5.99,5,-10,40,529
12/1/07,39417,4.98,4.38,4.60 - 5.36,4.6,5.36,5,-20,35,508
3/1/08,39508,3.34,6.57,2.72 - 3.96,2.72,3.96,3,-15,85,432
6/1/08,39600,4.19,6.08,3.61 - 4.77,3.61,4.77,4,-20,100,423
9/1/08,39692,3.83,5.05,3.38 - 4.28,3.38,4.28,4,-25,50,474
12/1/08,39783,4.84,10.29,4.02 - 5.65,4.02,5.65,4,-35,100,612
3/1/09,39873,2.18,9.04,1.38 - 2.97,1.38,2.97,2,-50,70,499
6/1/09,39965,6.57,7.86,5.88 - 7.27,5.88,7.27,5,-30,65,485
9/1/09,40057,6.4,6.8,5.8 - 6.9,5.8,6.9,5,-30,50,598
12/1/09,40148,6.28,7.23,5.65 - 6.92,5.65,6.92,5,-25,98,498
3/1/10,40238,5.62,8.44,4.91 - 6.33,4.91,6.33,5,-25,100,544
6/1/10,40330,4.47,6.25,3.91 - 5.02,3.91,5.02,4,-20,77,481
9/1/10,40422,3,4.9,2.6 - 3.5,2.6,3.5,3,-25,25,515
12/1/10,40513,5.3,4.9,4.8 - 5.7,4.8,5.7,5,-25,44,439
3/1/11,40603,6.5,6,6.0 - 7.1,6,7.1,6,-20,66,471
6/1/11,40695,5.4,6.7,4.7 - 6.0,4.7,6,5,-10,100,455
9/1/11,40787,3.5,7.5,2.8 - 4.2,2.8,4.2,3,-50,100,459
12/1/11,40878,4,5.5,3.5 - 4.5,3.5,4.5,4,-40,44,507
3/1/12,40969,6.2,4.1,5.8 - 6.6,5.8,6.6,6,-15,30,451
6/1/12,41061,4.4,4.8,4.0 - 4.9,4,4.9,4,-20,60,391
9/1/12,41153,3.8,5,3.5 - 4.2,3.5,4.2,4,-20,75,804
12/1/12,41244,3.4,4.3,3.0 - 3.9,3,3.9,4,-20,16,377
3/1/13,41334,5,4.8,4.6 - 5.5,4.6,5.5,5,-30,30,474
6/1/13,41426,6.9,6.7,6.2 - 7.6,6.2,7.6,6,-25,90,334
9/1/13,41518,5.3,6.6,4.7 - 5.9,4.7,5.9,5,-15,100,468
12/1/13,41609,5,4.6,4.6 - 5.5,4.6,5.5,5,-10,20,375
3/1/14,41699,5.6,5,5.1 - 6.1,5.1,6.1,5,-20,40,335
6/1/14,41791,5.3,4.4,4.9 - 5.8,4.9,5.8,5,-25,28,358
9/1/14,41883,5.38,4.34,4.92 - 5.83,4.92,5.83,5,-15,35,351
12/1/14,41974,6.07,5.38,5.58 - 6.56,5.58,6.56,5,-15,50,462
3/1/15,42064,5.87,4.92,5.44 - 6.30,5.44,6.3,5,-15,40,500
6/1/15,42156,5.36,4.38,4.95 - 5.76,4.95,5.76,5,-15,30,453
